player,team,position,age,games,minutes,goals,pens_made,assists,xg,npxg,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,xg_per90,npxg_per90,pens_att,assists,progressive_passes,progressive_carries,progressive_passes_received
Gabriel Magalhães,Arsenal,DF,25,36,"3,044",4,0,0,4.3,4.3,13,117,0.12,0.00,0.12,0.13,0.13,0,0,117,13,8
Gabriel Martinelli,Arsenal,FW,22,35,"2,019",6,0,4,6.8,6.8,127,65,0.27,0.18,0.45,0.31,0.31,0,4,65,127,345
Gabriel Osho,Luton Town,DF,24,21,"1,846",2,0,0,1.1,1.1,10,37,0.10,0.00,0.10,0.05,0.05,0,0,37,10,4
George Baldock,Sheffield Utd,DF,30,13,969,0,0,1,0.0,0.0,9,31,0.00,0.09,0.09,0.00,0.00,0,1,31,9,24
Gio Reyna,Nott'ham Forest,"FW,MF",20,9,235,0,0,1,0.3,0.3,3,12,0.00,0.38,0.38,0.11,0.11,0,1,12,3,14
Giovani Lo Celso,Tottenham,MF,27,22,506,2,0,2,0.6,0.6,25,68,0.36,0.36,0.71,0.10,0.10,0,2,68,25,29
Gonzalo Montiel,Nott'ham Forest,DF,26,14,801,0,0,2,0.1,0.1,10,28,0.00,0.22,0.22,0.01,0.01,0,2,28,10,32
Guglielmo Vicario,Tottenham,GK,26,38,"3,420",0,0,0,0.0,0.0,0,3,0.00,0.00,0.00,0.00,0.00,0,0,3,0,0
Gustavo Hamer,Sheffield Utd,MF,26,36,"2,910",4,0,6,3.0,3.0,36,135,0.12,0.19,0.31,0.09,0.09,0,6,135,36,86
Hannes Delcroix,Burnley,DF,24,12,589,0,0,0,0.4,0.4,2,18,0.00,0.00,0.00,0.05,0.05,0,0,18,2,6
Hannibal Mejbri,Manchester Utd,"MF,FW",20,5,133,1,0,0,0.0,0.0,2,6,0.68,0.00,0.68,0.02,0.02,0,0,6,2,10
Harrison Reed,Fulham,MF,28,27,"1,325",0,0,2,0.3,0.3,10,56,0.00,0.14,0.14,0.02,0.02,0,2,56,10,40
Harry Maguire,Manchester Utd,DF,30,22,"1,653",2,0,2,2.0,2.0,20,73,0.11,0.11,0.22,0.11,0.11,0,2,73,20,2
Harry Toffolo,Nott'ham Forest,DF,27,23,"1,459",1,0,3,1.6,1.6,10,42,0.06,0.19,0.25,0.10,0.10,0,3,42,10,34
Harry Wilson,Fulham,FW,26,35,"1,620",4,0,6,3.4,3.4,41,60,0.22,0.33,0.56,0.19,0.19,0,6,60,41,130
Harvey Barnes,Newcastle Utd,"FW,MF",25,21,802,5,0,3,3.6,3.6,45,34,0.56,0.34,0.90,0.40,0.40,0,3,34,45,79
Harvey Elliott,Liverpool,"MF,FW",20,34,"1,352",3,0,6,2.7,2.7,44,128,0.20,0.40,0.60,0.18,0.18,0,6,128,44,122
Hjalmar Ekdal,Burnley,DF,24,8,437,0,0,0,0.1,0.1,5,11,0.00,0.00,0.00,0.01,0.01,0,0,11,5,1
Hugo Bueno,Wolves,"DF,MF",20,22,741,0,0,0,0.3,0.3,22,8,0.00,0.00,0.00,0.03,0.03,0,0,8,22,40
Hwang Hee-chan,Wolves,"FW,MF",27,29,"2,119",12,1,3,7.7,6.9,37,37,0.51,0.13,0.64,0.33,0.29,1,3,37,37,120
Ian Maatsen,Chelsea,"FW,MF",21,12,209,0,0,0,0.8,0.8,9,8,0.00,0.00,0.00,0.35,0.35,0,0,8,9,15
Ibrahim Sangaré,Nott'ham Forest,MF,25,17,"1,035",0,0,0,0.6,0.6,5,44,0.00,0.00,0.00,0.06,0.06,0,0,44,5,7
Ibrahima Konaté,Liverpool,DF,24,22,"1,574",0,0,0,0.7,0.7,24,118,0.00,0.00,0.00,0.04,0.04,0,0,118,24,3
Idrissa Gana Gueye,Everton,MF,33,25,"1,884",4,0,0,1.3,1.3,29,83,0.19,0.00,0.19,0.06,0.06,0,0,83,29,41
Igor,Brighton,DF,25,24,"1,637",0,0,0,0.3,0.3,30,107,0.00,0.00,0.00,0.02,0.02,0,0,107,30,12
Illia Zabarnyi,Bournemouth,DF,20,37,"3,330",1,0,0,1.1,1.1,24,109,0.03,0.00,0.03,0.03,0.03,0,0,109,24,1
Ionuț Radu,Bournemouth,GK,26,2,180,0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Issa Diop,Fulham,DF,26,18,"1,424",0,0,0,0.3,0.3,11,66,0.00,0.00,0.00,0.02,0.02,0,0,66,11,1
Issa Kaboré,Luton Town,DF,22,24,"1,729",0,0,2,0.2,0.2,60,54,0.00,0.10,0.10,0.01,0.01,0,2,54,60,85
Ivan Perišić,Tottenham,FW,34,5,103,0,0,1,0.1,0.1,15,9,0.00,0.87,0.87,0.10,0.10,0,1,9,15,17
Ivan Toney,Brentford,FW,27,17,"1,450",4,0,2,6.0,6.0,23,40,0.25,0.12,0.37,0.37,0.37,0,2,40,23,98
Ivo Grbić,Sheffield Utd,GK,27,9,771,0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Jack Grealish,Manchester City,"FW,MF",27,20,"1,009",3,0,1,2.1,2.1,87,50,0.27,0.09,0.36,0.19,0.19,0,1,50,87,146
Jack Harrison,Everton,"MF,FW",26,29,"2,214",3,0,3,3.6,3.6,65,62,0.12,0.12,0.24,0.14,0.14,0,3,62,65,135
Jack Hinshelwood,Brighton,DF,18,12,869,3,0,0,1.9,1.9,16,19,0.31,0.00,0.31,0.19,0.19,0,0,19,16,38
Jack Robinson,Sheffield Utd,DF,29,34,"2,885",1,0,1,1.2,1.2,8,63,0.03,0.03,0.06,0.04,0.04,0,1,63,8,14
Jacob Brown,Luton Town,"MF,FW",25,19,"1,019",2,0,0,2.8,2.8,25,19,0.18,0.00,0.18,0.25,0.25,0,0,19,25,53
Jacob Bruun Larsen,Burnley,"MF,FW",24,32,"1,249",6,1,0,5.0,4.2,61,38,0.43,0.00,0.43,0.36,0.30,1,0,38,61,146
Jacob Murphy,Newcastle Utd,"FW,DF",28,21,"1,189",3,0,7,2.1,2.1,33,52,0.23,0.53,0.76,0.16,0.16,0,7,52,33,113
Jacob Ramsey,Aston Villa,"FW,MF",22,16,853,1,0,1,2.2,2.2,33,28,0.11,0.11,0.21,0.23,0.23,0,1,28,33,69
Jaidon Anthony,Bournemouth,FW,23,3,152,0,0,0,0.1,0.1,2,8,0.00,0.00,0.00,0.04,0.04,0,0,8,2,9
Jakub Kiwior,Arsenal,DF,23,20,946,1,0,3,0.8,0.8,4,55,0.10,0.29,0.38,0.08,0.08,0,3,55,4,16
Jakub Moder,Brighton,"MF,DF",24,17,618,0,0,0,0.6,0.6,10,23,0.00,0.00,0.00,0.08,0.08,0,0,23,10,26
Jamaal Lascelles,Newcastle Utd,DF,29,16,"1,080",1,0,0,0.7,0.7,8,31,0.08,0.00,0.08,0.06,0.06,0,0,31,8,3
James Garner,Everton,MF,22,37,"3,004",1,0,2,2.7,2.7,36,100,0.03,0.06,0.09,0.08,0.08,0,2,100,36,76
James Maddison,Tottenham,MF,26,28,"2,135",4,0,9,6.4,6.4,58,224,0.17,0.38,0.55,0.27,0.27,0,9,224,58,156
James Mcatee,Sheffield Utd,"MF,FW",20,30,"1,822",3,1,3,3.1,2.3,55,51,0.15,0.15,0.30,0.15,0.11,1,3,51,55,110
James Milner,Brighton,"DF,MF",37,15,773,0,0,2,0.3,0.3,11,69,0.00,0.23,0.23,0.03,0.03,0,2,69,11,73
James Tarkowski,Everton,DF,30,38,"3,419",1,0,1,2.6,2.6,15,130,0.03,0.03,0.05,0.07,0.07,0,1,130,15,20
James Trafford,Burnley,GK,20,28,"2,520",0,0,0,0.0,0.0,0,6,0.00,0.00,0.00,0.00,0.00,0,0,6,0,0
James Ward-Prowse,West Ham,MF,28,37,"3,001",7,2,7,6.0,4.4,18,144,0.21,0.21,0.42,0.18,0.13,2,7,144,18,63
Jan Paul van Hecke,Brighton,DF,23,28,"2,369",0,0,0,1.2,1.2,25,147,0.00,0.00,0.00,0.05,0.05,0,0,147,25,7
Jarell Quansah,Liverpool,DF,20,17,"1,190",2,0,0,1.0,1.0,13,67,0.15,0.00,0.15,0.08,0.08,0,0,67,13,1
Jarrad Branthwaite,Everton,DF,21,35,"3,116",3,0,0,1.7,1.7,2,74,0.09,0.00,0.09,0.05,0.05,0,0,74,2,6
Jarrod Bowen,West Ham,FW,26,34,"3,019",16,0,6,11.6,11.6,90,52,0.48,0.18,0.66,0.35,0.35,0,6,52,90,186
Jason Steele,Brighton,GK,32,17,"1,530",0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Jay Rodriguez,Burnley,FW,34,21,822,2,1,1,3.5,2.7,2,17,0.22,0.11,0.33,0.38,0.30,1,1,17,2,28
Jayden Bogle,Sheffield Utd,DF,23,34,"2,788",3,0,0,2.3,2.3,38,60,0.10,0.00,0.10,0.07,0.07,0,0,60,38,92
Jaïro Riedewald,Crystal Palace,"MF,FW",26,9,235,0,0,0,0.0,0.0,3,10,0.00,0.00,0.00,0.01,0.01,0,0,10,3,3
Jean-Philippe Mateta,Crystal Palace,FW,26,35,"2,282",16,2,5,10.9,9.4,29,25,0.63,0.20,0.83,0.43,0.37,2,5,25,29,135
Jean-Ricner Bellegarde,Wolves,"MF,FW",25,22,958,2,0,1,1.6,1.6,30,39,0.19,0.09,0.28,0.15,0.15,0,1,39,30,49
Jefferson Lerma,Crystal Palace,"MF,DF",28,28,"2,400",1,0,1,2.7,2.7,14,106,0.04,0.04,0.07,0.10,0.10,0,1,106,14,51
Jeffrey Schlupp,Crystal Palace,"FW,MF",30,29,"1,352",2,0,2,1.8,1.8,20,33,0.13,0.13,0.27,0.12,0.12,0,2,33,20,52
Jeremy Doku,Manchester City,"FW,MF",21,29,"1,595",3,0,8,2.5,2.5,218,57,0.17,0.45,0.62,0.14,0.14,0,8,57,218,295
Jesurun Rak Sakyi,Crystal Palace,"MF,FW",20,6,136,0,0,0,0.4,0.4,7,2,0.00,0.00,0.00,0.28,0.28,0,0,2,7,18
Jhon Durán,Aston Villa,"FW,MF",19,23,475,5,0,0,2.0,2.0,9,9,0.95,0.00,0.95,0.38,0.38,0,0,9,9,25
Joachim Andersen,Crystal Palace,DF,27,38,"3,415",2,0,3,1.7,1.7,21,147,0.05,0.08,0.13,0.04,0.04,0,3,147,21,10
Joe Gomez,Liverpool,DF,26,32,"1,786",0,0,1,0.8,0.8,44,100,0.00,0.05,0.05,0.04,0.04,0,1,100,44,105
Joe Rothwell,Bournemouth,MF,28,11,386,0,0,0,0.1,0.1,6,20,0.00,0.00,0.00,0.02,0.02,0,0,20,6,3
Joe Willock,Newcastle Utd,MF,23,9,419,1,0,0,0.8,0.8,16,17,0.21,0.00,0.21,0.17,0.17,0,0,17,16,26
Joe Worrall,Nott'ham Forest,DF,26,7,439,0,0,0,0.1,0.1,0,8,0.00,0.00,0.00,0.02,0.02,0,0,8,0,1
Joel Ward,Crystal Palace,DF,33,26,"1,980",0,0,1,0.9,0.9,16,66,0.00,0.05,0.05,0.04,0.04,0,1,66,16,14
Joelinton,Newcastle Utd,"MF,FW",26,20,"1,279",2,0,1,3.1,3.1,29,56,0.14,0.07,0.21,0.22,0.22,0,1,56,29,60
John Egan,Sheffield Utd,DF,30,6,482,0,0,0,0.2,0.2,0,5,0.00,0.00,0.00,0.03,0.03,0,0,5,0,1
John Fleck,Sheffield Utd,"MF,DF",31,4,92,0,0,0,0.0,0.0,2,3,0.00,0.00,0.00,0.00,0.00,0,0,3,2,0
John McGinn,Aston Villa,"MF,FW",28,35,"2,999",6,0,4,5.0,5.0,59,189,0.18,0.12,0.30,0.15,0.15,0,4,189,59,84
John Stones,Manchester City,"DF,MF",29,16,"1,064",1,0,0,1.0,1.0,16,57,0.08,0.00,0.08,0.09,0.09,0,0,57,16,24
Jonny Evans,Manchester Utd,DF,35,23,"1,392",0,0,1,0.1,0.1,7,37,0.00,0.06,0.06,0.00,0.00,0,1,37,7,1
Jordan Ayew,Crystal Palace,"FW,MF",31,35,"2,543",4,0,7,3.9,3.9,74,63,0.14,0.25,0.39,0.14,0.14,0,7,63,74,173
Jordan Beyer,Burnley,DF,23,15,"1,234",0,0,1,0.5,0.5,9,25,0.00,0.07,0.07,0.04,0.04,0,1,25,9,1
Jordan Clark,Luton Town,MF,29,23,"1,304",1,0,1,1.0,1.0,21,51,0.07,0.07,0.14,0.07,0.07,0,1,51,21,39
Jordan Pickford,Everton,GK,29,38,"3,420",0,0,0,0.0,0.0,1,6,0.00,0.00,0.00,0.00,0.00,0,0,6,1,0
Jorginho,Arsenal,MF,31,24,921,0,0,2,0.1,0.1,8,101,0.00,0.20,0.20,0.01,0.01,0,2,101,8,8
Josh Brownhill,Burnley,MF,27,33,"2,252",4,0,2,1.9,1.9,19,90,0.16,0.08,0.24,0.08,0.08,0,2,90,19,36
Josh Cullen,Burnley,MF,27,25,"2,057",2,0,3,0.6,0.6,22,123,0.09,0.13,0.22,0.03,0.03,0,3,123,22,22
José Sá,Wolves,GK,30,35,"3,037",0,0,1,0.0,0.0,0,1,0.00,0.03,0.03,0.00,0.00,0,1,1,0,0
João Gomes,Wolves,MF,22,34,"2,649",2,0,1,1.7,1.7,28,101,0.07,0.03,0.10,0.06,0.06,0,1,101,28,44
João Palhinha,Fulham,MF,28,33,"2,699",4,0,1,3.3,3.3,8,97,0.13,0.03,0.17,0.11,0.11,0,1,97,8,14
João Pedro,Brighton,"FW,MF",21,31,"2,045",9,4,3,11.9,7.9,83,92,0.40,0.13,0.53,0.53,0.35,5,3,92,83,205
Joël Matip,Liverpool,DF,31,10,781,0,0,0,0.5,0.5,8,34,0.00,0.00,0.00,0.06,0.06,0,0,34,8,1
Joël Veltman,Brighton,DF,31,27,"1,588",1,0,1,0.4,0.4,24,85,0.06,0.06,0.11,0.02,0.02,0,1,85,24,54
Joško Gvardiol,Manchester City,DF,21,28,"2,328",4,0,1,3.1,3.1,63,136,0.15,0.04,0.19,0.12,0.12,0,1,136,63,115
Julio Enciso,Brighton,"MF,FW",19,12,475,0,0,2,1.4,1.4,28,21,0.00,0.38,0.38,0.27,0.27,0,2,21,28,29
Julián Álvarez,Manchester City,"MF,FW",23,36,"2,647",11,2,8,13.0,11.5,64,103,0.37,0.27,0.65,0.44,0.39,2,8,103,64,180
Justin Kluivert,Bournemouth,"MF,FW",24,32,"1,916",7,0,1,6.2,6.2,65,50,0.33,0.05,0.38,0.29,0.29,0,1,50,65,114
Jóhann Berg Guðmundsson,Burnley,"MF,FW",32,26,"1,192",1,0,3,1.9,1.9,13,59,0.08,0.23,0.30,0.14,0.14,0,3,59,13,69
Kai Havertz,Arsenal,"MF,FW",24,37,"2,634",13,1,7,12.3,11.6,55,99,0.44,0.24,0.68,0.42,0.39,1,7,99,55,191
Kalvin Phillips,West Ham,MF,27,8,309,0,0,0,0.1,0.1,3,19,0.00,0.00,0.00,0.02,0.02,0,0,19,3,4
Kalvin Phillips,Manchester City,MF,27,4,93,0,0,0,0.1,0.1,7,7,0.00,0.00,0.00,0.07,0.07,0,0,7,7,3
Kaoru Mitoma,Brighton,FW,26,19,"1,486",3,0,4,3.5,3.5,121,64,0.18,0.24,0.42,0.21,0.21,0,4,64,121,239
Keane Lewis-Potter,Brentford,"FW,DF",22,30,"1,441",3,0,1,6.3,6.3,56,32,0.19,0.06,0.25,0.39,0.39,0,1,32,56,135
Kenny Tete,Fulham,DF,27,14,867,1,0,0,0.9,0.9,20,54,0.10,0.00,0.10,0.09,0.09,0,0,54,20,38
Kevin De Bruyne,Manchester City,MF,32,18,"1,221",4,0,10,2.4,2.4,47,111,0.29,0.74,1.03,0.18,0.18,0,10,111,47,133
Kevin Schade,Brentford,"FW,MF",21,11,333,2,0,1,1.2,1.2,8,9,0.54,0.27,0.81,0.32,0.32,0,1,9,8,23
Kieffer Moore,Bournemouth,"FW,MF",30,8,108,1,0,0,1.5,1.5,2,4,0.83,0.00,0.83,1.23,1.23,0,0,4,2,15
Kieran Trippier,Newcastle Utd,DF,32,28,"2,236",1,0,10,0.7,0.7,34,157,0.04,0.40,0.44,0.03,0.03,0,10,157,34,128
Kobbie Mainoo,Manchester Utd,MF,18,24,"1,924",3,0,1,0.9,0.9,25,64,0.14,0.05,0.19,0.04,0.04,0,1,64,25,36
Konstantinos Mavropanos,West Ham,DF,25,19,"1,500",1,0,0,1.2,1.2,10,38,0.06,0.00,0.06,0.07,0.07,0,0,38,10,2
Kostas Tsimikas,Liverpool,DF,27,13,679,0,0,3,0.1,0.1,24,31,0.00,0.40,0.40,0.01,0.01,0,3,31,24,73
Kristoffer Ajer,Brentford,DF,25,28,"1,832",2,0,1,1.3,1.3,22,61,0.10,0.05,0.15,0.06,0.06,0,1,61,22,31
Kurt Zouma,West Ham,DF,28,33,"2,838",3,0,0,1.8,1.8,7,53,0.10,0.00,0.10,0.06,0.06,0,0,53,7,1
Kyle Walker,Manchester City,DF,33,32,"2,767",0,0,4,0.4,0.4,74,157,0.00,0.13,0.13,0.01,0.01,0,4,157,74,172
Leander Dendoncker,Aston Villa,MF,28,8,119,1,0,0,0.7,0.7,0,3,0.76,0.00,0.76,0.56,0.56,0,0,3,0,2
Leandro Trossard,Arsenal,"FW,MF",28,34,"1,649",12,0,1,7.9,7.9,66,76,0.65,0.05,0.71,0.43,0.43,0,1,76,66,155
Leon Bailey,Aston Villa,"MF,FW",25,35,"2,068",10,0,9,6.3,6.3,102,82,0.44,0.39,0.83,0.27,0.27,0,9,82,102,226
Leon Chiwome,Wolves,FW,17,3,174,0,0,0,0.1,0.1,1,2,0.00,0.00,0.00,0.05,0.05,0,0,2,1,7
Lesley Ugochukwu,Chelsea,MF,19,12,301,0,0,0,0.0,0.0,8,17,0.00,0.00,0.00,0.00,0.00,0,0,17,8,3
Levi Colwill,Chelsea,DF,20,23,"1,797",1,0,1,1.3,1.3,23,73,0.05,0.05,0.10,0.06,0.06,0,1,73,23,27
Lewis Cook,Bournemouth,MF,26,33,"2,786",0,0,3,0.4,0.4,22,142,0.00,0.10,0.10,0.01,0.01,0,3,142,22,15
Lewis Dobbin,Everton,MF,20,12,232,1,0,0,0.3,0.3,6,3,0.39,0.00,0.39,0.11,0.11,0,0,3,6,20
Lewis Dunk,Brighton,DF,31,33,"2,869",3,0,1,3.1,3.1,33,152,0.09,0.03,0.13,0.10,0.10,0,1,152,33,13
Lewis Hall,Newcastle Utd,DF,18,18,781,1,0,0,0.3,0.3,19,46,0.12,0.00,0.12,0.04,0.04,0,0,46,19,27
Lewis Miley,Newcastle Utd,MF,17,17,"1,202",1,0,3,1.2,1.2,14,53,0.07,0.22,0.30,0.09,0.09,0,3,53,14,54
Lisandro Martínez,Manchester Utd,DF,25,11,646,0,0,1,0.0,0.0,8,28,0.00,0.14,0.14,0.00,0.00,0,1,28,8,1
Lloyd Kelly,Bournemouth,DF,24,23,"1,559",0,0,1,0.3,0.3,15,56,0.00,0.06,0.06,0.02,0.02,0,1,56,15,28
Lorenz Assignon,Burnley,DF,23,15,"1,234",1,0,2,0.4,0.4,38,34,0.07,0.15,0.22,0.03,0.03,0,2,34,38,57
Luca Koleosho,Burnley,"MF,FW",18,15,974,1,0,1,2.0,2.0,53,19,0.09,0.09,0.18,0.18,0.18,0,1,19,53,82
Lucas Digne,Aston Villa,DF,30,33,"2,410",1,0,3,1.1,1.1,42,77,0.04,0.11,0.15,0.04,0.04,0,3,77,42,200
Lucas Paquetá,West Ham,"FW,MF",25,31,"2,622",4,2,6,5.4,3.8,34,187,0.14,0.21,0.34,0.18,0.13,2,6,187,34,116
Luis Díaz,Liverpool,FW,26,37,"2,629",8,0,5,11.9,11.9,137,113,0.27,0.17,0.45,0.41,0.41,0,5,113,137,302
Luis Sinisterra,Bournemouth,"FW,MF",24,20,699,2,0,2,2.5,2.5,51,38,0.26,0.26,0.52,0.33,0.33,0,2,38,51,85
Luke Berry,Luton Town,"MF,DF",31,17,323,2,0,1,1.0,1.0,1,8,0.56,0.28,0.84,0.28,0.28,0,1,8,1,7
Luke Shaw,Manchester Utd,DF,28,12,959,0,0,0,0.0,0.0,10,45,0.00,0.00,0.00,0.00,0.00,0,0,45,10,30
Luke Thomas,Sheffield Utd,DF,22,12,917,0,0,0,0.5,0.5,8,33,0.00,0.00,0.00,0.05,0.05,0,0,33,8,22
Lyle Foster,Burnley,"FW,MF",22,24,"1,899",5,0,3,4.5,4.5,55,37,0.24,0.14,0.38,0.21,0.21,0,3,37,55,104
Mads Juel Andersen,Luton Town,DF,25,8,400,1,0,0,0.3,0.3,0,7,0.23,0.00,0.23,0.06,0.06,0,0,7,0,1
Mads Roerslev,Brentford,DF,24,34,"1,985",1,0,2,0.9,0.9,18,43,0.05,0.09,0.14,0.04,0.04,0,2,43,18,90
Mahmoud Dahoud,Brighton,MF,27,9,452,0,0,1,0.2,0.2,4,11,0.00,0.20,0.20,0.04,0.04,0,1,11,4,6
Malo Gusto,Chelsea,DF,20,27,"1,751",0,0,6,0.9,0.9,78,86,0.00,0.31,0.31,0.05,0.05,0,6,86,78,135
Manor Solomon,Tottenham,FW,24,5,199,0,0,2,0.4,0.4,17,11,0.00,0.90,0.90,0.19,0.19,0,2,11,17,44
Manuel Akanji,Manchester City,"DF,MF",28,30,"2,511",2,0,0,1.9,1.9,46,148,0.07,0.00,0.07,0.07,0.07,0,0,148,46,36
Marc Cucurella,Chelsea,DF,25,21,"1,782",0,0,2,1.1,1.1,31,50,0.00,0.10,0.10,0.06,0.06,0,2,50,31,73
Marc Guéhi,Crystal Palace,DF,23,25,"2,021",0,0,1,0.6,0.6,15,67,0.00,0.04,0.04,0.03,0.03,0,1,67,15,7
Marcos Senesi,Bournemouth,DF,26,31,"2,242",4,0,5,2.0,2.0,31,127,0.16,0.20,0.36,0.08,0.08,0,5,127,31,4
Marcus Rashford,Manchester Utd,FW,25,33,"2,271",7,2,2,7.4,5.8,95,65,0.28,0.08,0.36,0.29,0.23,2,2,65,95,184
Marcus Tavernier,Bournemouth,FW,24,30,"2,118",3,0,4,3.9,3.9,79,84,0.13,0.17,0.30,0.17,0.17,0,4,84,79,171
Mario Lemina,Wolves,MF,29,35,"2,968",4,0,1,4.6,4.6,32,76,0.12,0.03,0.15,0.14,0.14,0,1,76,32,49
Mark Flekken,Brentford,GK,30,37,"3,285",0,0,1,0.0,0.0,0,5,0.00,0.03,0.03,0.00,0.00,0,1,5,0,0
Mark Travers,Bournemouth,GK,24,4,360,0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Martin Dúbravka,Newcastle Utd,GK,34,23,"1,985",0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Martin Ødegaard,Arsenal,MF,24,35,"3,091",8,2,10,7.4,5.8,91,344,0.23,0.29,0.52,0.22,0.17,2,10,344,91,202
Marvelous Nakamba,Luton Town,MF,29,13,"1,130",0,0,0,0.2,0.2,1,36,0.00,0.00,0.00,0.01,0.01,0,0,36,1,5
Mason Holgate,Sheffield Utd,DF,26,10,710,0,0,0,0.6,0.6,0,13,0.00,0.00,0.00,0.08,0.08,0,0,13,0,0
Mason Mount,Manchester Utd,"MF,FW",24,14,516,1,0,0,0.4,0.4,9,21,0.17,0.00,0.17,0.07,0.07,0,0,21,9,34
Mateo Kovačić,Manchester City,MF,29,30,"1,551",1,0,0,1.3,1.3,37,100,0.06,0.00,0.06,0.07,0.07,0,0,100,37,38
Matheus Cunha,Wolves,"FW,MF",24,32,"2,440",12,1,7,9.5,8.7,107,87,0.44,0.26,0.70,0.35,0.32,1,7,87,107,139
Matheus França,Crystal Palace,"MF,FW",19,10,232,0,0,1,0.4,0.4,12,8,0.00,0.39,0.39,0.14,0.14,0,1,8,12,12
Matheus Nunes,Wolves,MF,24,2,179,0,0,0,0.1,0.1,7,8,0.00,0.00,0.00,0.04,0.04,0,0,8,7,9
Matheus Nunes,Manchester City,MF,24,17,661,0,0,2,0.8,0.8,28,34,0.00,0.27,0.27,0.11,0.11,0,2,34,28,58
Mathias Jensen,Brentford,MF,27,32,"2,204",3,0,3,0.7,0.7,19,123,0.12,0.12,0.25,0.03,0.03,0,3,123,19,66
Mathias Jørgensen,Brentford,DF,33,14,"1,087",1,0,0,0.7,0.7,5,50,0.08,0.00,0.08,0.06,0.06,0,0,50,5,4
Matt Doherty,Wolves,"DF,MF",31,30,"1,150",1,0,0,0.8,0.8,12,31,0.08,0.00,0.08,0.07,0.07,0,0,31,12,64
Matt Ritchie,Newcastle Utd,"FW,MF",33,13,128,1,0,0,1.0,1.0,5,8,0.70,0.00,0.70,0.68,0.68,0,0,8,5,13
Matt Turner,Nott'ham Forest,GK,29,17,"1,530",0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Matty Cash,Aston Villa,DF,25,29,"2,142",2,0,2,4.2,4.2,62,88,0.08,0.08,0.17,0.18,0.18,0,2,88,62,101
